lat,lng,date,weather_temperature_2m_mean,weather_precipitation_sum,weather_rain_sum,weather_wind_speed_10m_max,weather_relative_humidity_2m_mean,weather_cloud_cover_mean
-37.8497,144.968,2011-03-27,15.5,0.0,0.0,14.0,76.0,60.0
2.7608,101.738,2011-04-10,25.0,31.2,31.2,7.4,90.0,94.0
31.3389,121.22,2011-04-17,14.1,0.0,0.0,10.9,56.0,78.0
40.9517,29.405,2011-05-08,11.0,0.0,0.0,15.4,77.0,45.0
41.57,2.2611,2011-05-22,20.0,0.0,0.0,13.8,68.0,17.0
43.7347,7.4206,2011-05-29,19.3,0.0,0.0,8.2,74.0,6.0
45.5,-73.5228,2011-06-12,15.3,23.5,23.5,18.7,90.0,88.0
39.4589,-0.3317,2011-06-26,25.8,0.0,0.0,18.5,62.0,7.0
52.0786,-1.0169,2011-07-10,15.5,0.6,0.6,11.4,79.0,67.0
50.3356,6.9475,2011-07-24,9.4,7.1,7.1,20.1,87.0,95.0
47.5789,19.2486,2011-07-31,15.8,1.9,1.9,21.6,80.0,90.0
50.4372,5.9714,2011-08-28,12.2,0.5,0.5,24.2,80.0,75.0
45.6156,9.2811,2011-09-11,22.8,0.1,0.1,6.6,76.0,43.0
1.2914,103.864,2011-09-25,27.3,2.6,2.6,12.0,82.0,36.0
34.8431,136.541,2011-10-09,17.6,0.0,0.0,9.9,74.0,35.0
34.7333,126.417,2011-10-16,17.1,0.1,0.1,26.3,64.0,18.0
28.3487,77.5331,2011-10-30,22.4,0.0,0.0,9.0,63.0,0.0
24.4672,54.6031,2011-11-13,22.7,0.0,0.0,12.7,65.0,9.0
-23.7036,-46.6997,2011-11-27,19.5,14.4,14.4,13.5,93.0,92.0
-37.8497,144.968,2012-03-18,17.3,0.0,0.0,15.6,75.0,32.0
2.7608,101.738,2012-03-25,25.8,9.9,9.9,10.1,89.0,71.0
31.3389,121.22,2012-04-15,15.4,0.0,0.0,12.0,77.0,97.0
26.0325,50.5106,2012-04-22,24.0,0.0,0.0,16.8,61.0,38.0
41.57,2.2611,2012-05-13,18.5,2.1,2.1,13.3,80.0,62.0
43.7347,7.4206,2012-05-27,18.2,3.3,3.3,8.7,87.0,83.0
45.5,-73.5228,2012-06-10,20.1,0.0,0.0,8.4,64.0,45.0
39.4589,-0.3317,2012-06-24,25.6,0.0,0.0,19.8,57.0,4.0
52.0786,-1.0169,2012-07-08,14.7,13.0,13.0,15.1,89.0,84.0
