driverId,name
1,Hamilton
2,Heidfeld
3,Rosberg
4,Alonso
5,Button
8,Raikkonen
9,Kubica
10,Glock
13,Webber
15,Vettel
16,Trulli
17,Barrichello
18,Massa
20,Kovalainen
22,Sutil
24,Hulkenberg
30,Palmer
37,Maldonado
39,Senna
67,Gutierrez
153,Chilton
154,Stevens
155,Sainz
807,Ericsson
808,Grosjean
811,Perez
812,Vergne
813,Kvyat
814,Magnussen
815,Ricciardo
816,Verstappen
817,Kvyat
818,Sainz
819,Nasr
820,Stroll
821,Giovinazzi
822,Leclerc
823,Hartley
824,Gasly
825,Sirotkin
826,Norris
827,Russell
828,Kubica
829,Latifi
830,Verstappen
831,Ocon
832,Sainz
833,Albon
834,Norris
835,Russell
836,Latifi
837,Gasly
838,Perez
839,Giovinazzi
840,Tsunoda
841,Schumacher
842,Zhou
843,de Vries
844,Piastri
845,Lawson
846,Norris
847,Russell
848,Albon
849,Sargeant
850,Piastri
851,Lawson
852,Colapinto
853,Bearman
854,Doohan
855,Bortoleto
856,Hadjar
857,Piastri
858,Antonelli
859,Bortoleto
860,Lawson
861,Hadjar
862,Antonelli
