entity_type,entity_id,nuts_mean,nuts_std
driver,1,0.61784714,0.17731619
driver,2,-0.6969126,0.39612964
driver,3,-0.2902284,0.19274355
driver,4,0.52770984,0.16748908
driver,5,0.256243,0.27602112
driver,8,0.4943642,0.18228188
driver,9,-0.65580165,0.29273686
driver,10,0.15955196,0.3312243
driver,13,0.22884777,0.18499105
driver,15,0.22306742,0.42164502
driver,16,-0.30770853,0.2172987
driver,17,0.039605513,0.22779225
driver,18,0.46843323,0.19948012
driver,20,0.64210063,0.18496947
driver,22,-0.34555364,0.3089031
driver,24,-0.14618139,0.3998962
driver,30,-1.6390444,0.2547778
driver,37,0.6329281,0.39392102
driver,39,0.10852595,0.3780831
driver,67,-0.06410831,0.31992877
driver,153,-0.22255813,0.28536862
driver,154,-0.08773866,0.18807629
driver,155,0.24539469,0.22716813
driver,807,0.263538,0.17418088
driver,808,0.11286945,0.24265145
driver,811,-0.31482005,0.27022642
driver,812,-0.35432795,0.67535657
driver,813,-0.45260167,0.20056179
driver,814,-0.10123143,0.21666385
driver,815,0.3008134,0.17429896
driver,816,-0.036378525,0.41143605
driver,817,0.368737,0.17941025
driver,818,0.030916205,0.24468139
driver,819,0.19220722,0.27895394
driver,820,-0.1840592,0.36142638
driver,821,-0.055221304,0.22290568
driver,822,0.45549732,0.16810444
driver,823,-0.11979608,0.3346492
driver,824,-0.061331596,0.35433483
driver,825,0.01990405,0.18802921
driver,826,0.26426706,0.20213291
driver,827,-0.031069966,1.0345107
driver,828,0.11894462,0.20582186
driver,829,-0.098197624,0.38221234
driver,830,0.7163541,0.20172927
driver,831,0.24975224,0.25313136
driver,832,0.62398916,0.1887269
driver,833,0.2939815,0.415912
driver,834,0.3328473,0.5018248
driver,835,-0.255513,0.25543186
driver,836,-0.16925561,0.28197473
driver,837,-0.74793357,0.4492475
driver,838,-0.01997143,0.23876554
driver,839,0.40897685,0.19033259
driver,840,-0.046891138,0.18727937
driver,841,0.4240094,0.21207735
driver,842,0.4810777,0.19497183
driver,843,-0.43763313,0.30595574
driver,844,0.5629758,0.19844463
driver,845,-0.5459791,0.29651588
driver,846,0.9547694,0.2001071
driver,847,-0.29010677,0.19407997
driver,848,0.14775847,0.21152815
driver,849,-0.53504026,0.22674114
driver,850,-0.7267939,0.681932
driver,851,-0.017713152,0.75297016
driver,852,0.13315825,0.21938398
driver,853,-0.8943951,0.3148958
driver,854,-0.26934132,0.24990007
driver,855,0.32870984,0.2217115
driver,856,-0.18820834,0.39553958
driver,857,0.9543841,0.24517684
driver,858,-0.59277976,0.27512002
driver,859,0.5832118,0.394565
driver,860,0.5366041,0.58841455
driver,861,0.14775614,0.41480193
driver,862,-0.07230441,0.71418744
constructor,1,0.32970443,0.10357881
constructor,3,0.3033186,0.09419974
constructor,4,0.2326641,0.09048149
constructor,5,0.08499923,0.09434436
constructor,6,0.8518672,0.089377
constructor,9,1.2338572,0.096271925
constructor,10,0.47052008,0.08118533
constructor,15,-0.15826905,0.08893556
constructor,131,1.6818763,0.121660836
constructor,164,-1.4805466,0.27831504
constructor,166,-1.1632351,0.3433736
constructor,205,-1.0155547,0.3073037
constructor,206,-0.6008125,0.27887997
constructor,207,-0.74279785,0.16450682
constructor,208,0.43638036,0.12959883
constructor,209,-0.59188575,0.22796357
constructor,210,0.12791368,0.12707248
