constructorId,constructorName,mu,sigma
131,Mercedes,5.730803489685059,5.0
9,Red Bull,4.67954158782959,5.0
6,Ferrari,3.577993869781494,5.0
10,Force India,1.1943957805633545,5.0
208,Lotus F1,1.1498619318008423,5.0
211,Racing Point,0.9833418726921082,5.0
117,Aston Martin,-0.6854789853096008,5.0
1,McLaren,-0.7088772654533386,5.0
214,Alpine F1 Team,-0.7425569891929626,5.0
213,AlphaTauri,-0.9528046250343323,5.0
4,Renault,-1.2000634670257568,5.0
3,Williams,-1.6604660749435425,5.0
5,Toro Rosso,-2.2700374126434326,5.0
215,RB F1 Team,-2.606764316558838,5.0
210,Haas F1 Team,-2.9649930000305176,5.0
15,Sauber,-3.0572736263275146,5.0
51,Alfa Romeo,-3.279690980911255,5.0
206,Marussia,-3.284290313720703,5.0
209,Manor Marussia,-4.353334903717041,5.0
205,Lotus,-4.598749160766602,5.0
207,Caterham,-4.992416858673096,5.0
166,Virgin,-5.095242977142334,5.0
164,HRT,-6.750812530517578,5.0
