driverId,driverName,mu,sigma
1,Lewis Hamilton,4.953291416168213,5.0
846,Lando Norris,4.8239426612854,5.0
857,Oscar Piastri,4.536214351654053,5.0
830,Max Verstappen,3.787233829498291,5.0
20,Sebastian Vettel,3.3231561183929443,5.0
18,Jenson Button,2.5062804222106934,5.0
860,Oliver Bearman,2.466277599334717,5.0
8,Kimi Räikkönen,2.1915299892425537,5.0
4,Fernando Alonso,1.9794871807098389,5.0
17,Mark Webber,1.962651252746582,5.0
822,Valtteri Bottas,1.9500775337219238,5.0
844,Charles Leclerc,1.9284223318099976,5.0
832,Carlos Sainz,1.86372709274292,5.0
13,Felipe Massa,1.5089811086654663,5.0
815,Sergio Pérez,1.2267783880233765,5.0
2,Nick Heidfeld,0.9120332598686218,5.0
817,Daniel Ricciardo,0.6875410079956055,5.0
155,Kamui Kobayashi,0.6309886574745178,5.0
839,Esteban Ocon,0.5372369885444641,5.0
842,Pierre Gasly,0.41240018606185913,5.0
3,Nico Rosberg,0.2819582521915436,5.0
831,Felipe Nasr,0.1865115463733673,5.0
153,Jaime Alguersuari,-0.16682839393615723,5.0
811,Bruno Senna,-0.26096031069755554,5.0
841,Antonio Giovinazzi,-0.3555568754673004,5.0
859,Liam Lawson,-0.41739729046821594,5.0
67,Sébastien Buemi,-0.42192450165748596,5.0
840,Lance Stroll,-0.469086229801178,5.0
807,Nico Hülkenberg,-0.5049697160720825,5.0
828,Marcus Ericsson,-0.5942317843437195,5.0
808,Vitaly Petrov,-0.6239362359046936,5.0
826,Daniil Kvyat,-0.6960951089859009,5.0
834,Alexander Rossi,-0.7239377498626709,5.0
818,Jean-Éric Vergne,-0.7869580388069153,5.0
848,Alexander Albon,-0.799159049987793,5.0
825,Kevin Magnussen,-1.0109245777130127,5.0
22,Rubens Barrichello,-1.041167974472046,5.0
833,Roberto Merhi,-1.067558765411377,5.0
861,Franco Colapinto,-1.0743615627288818,5.0
814,Paul di Resta,-1.2009711265563965,5.0
847,George Russell,-1.2254208326339722,5.0
862,Jack Doohan,-1.2550803422927856,5.0
838,Stoffel Vandoorne,-1.3482614755630493,5.0
851,Jack Aitken,-1.4145125150680542,5.0
855,Guanyu Zhou,-1.6585419178009033,5.0
5,Heikki Kovalainen,-1.7080153226852417,5.0
821,Esteban Gutiérrez,-1.8012659549713135,5.0
154,Romain Grosjean,-2.011549472808838,5.0
836,Pascal Wehrlein,-2.187746286392212,5.0
812,Karun Chandhok,-2.421560287475586,5.0
816,Jérôme d'Ambrosio,-2.533015251159668,5.0
852,Yuki Tsunoda,-2.663076400756836,5.0
16,Adrian Sutil,-2.7981815338134766,5.0
819,Charles Pic,-2.9728779792785645,5.0
15,Jarno Trulli,-3.0268101692199707,5.0
824,Jules Bianchi,-3.0462570190429688,5.0
850,Pietro Fittipaldi,-3.1161041259765625,5.0
843,Brendon Hartley,-3.337137222290039,5.0
835,Jolyon Palmer,-3.356718063354492,5.0
37,Pedro de la Rosa,-3.461071729660034,5.0
854,Mick Schumacher,-3.623032331466675,5.0
820,Max Chilton,-3.65975022315979,5.0
10,Timo Glock,-3.6861484050750732,5.0
829,Will Stevens,-3.7205424308776855,5.0
845,Sergey Sirotkin,-3.763535499572754,5.0
837,Rio Haryanto,-3.8174614906311035,5.0
823,Giedo van der Garde,-3.8932316303253174,5.0
813,Pastor Maldonado,-3.956087112426758,5.0
856,Nyck de Vries,-4.133712291717529,5.0
849,Nicholas Latifi,-4.181252956390381,5.0
24,Vitantonio Liuzzi,-4.872673988342285,5.0
827,André Lotterer,-4.919889450073242,5.0
39,Narain Karthikeyan,-5.162258625030518,5.0
858,Logan Sargeant,-5.229295253753662,5.0
9,Robert Kubica,-6.056076526641846,5.0
853,Nikita Mazepin,-6.640581130981445,5.0
30,Michael Schumacher,-7.190491676330566,5.0
