model,fold_test_year,pairwise_accuracy,top_1_accuracy,top_3_accuracy,top_5_accuracy,spearman_rho,mrr,mse_position
Grid,2015,0.742793171004758,0.5789473684210527,0.7368421052631579,0.7368421052631579,0.6083619366747295,0.7631578947368421,25.608187134502923
Random,2015,0.5393226980128744,0.0,0.05263157894736842,0.3684210526315789,0.10078757264678724,0.15436358334150413,59.33391812865497
TrueSkill,2015,0.6280436607892528,0.5263157894736842,0.8947368421052632,0.8947368421052632,0.3926367839365464,0.6578947368421053,40.16549707602339
Pyro,2015,0.7528687377553877,0.5263157894736842,0.8947368421052632,0.8947368421052632,0.6481063339463209,0.7456140350877193,23.00877192982456
Grid,2016,0.7437641723356009,0.5714285714285714,0.7619047619047619,0.8095238095238095,0.6070364120839307,0.7396825396825397,31.64069264069264
Random,2016,0.5135023706452277,0.0,0.23809523809523808,0.2857142857142857,0.04304804925922938,0.12295266202829229,77.03463203463204
TrueSkill,2016,0.6806843949701092,0.47619047619047616,0.8095238095238095,0.8571428571428571,0.5176971045992812,0.629251700680272,39.03463203463203
Pyro,2016,0.772005772005772,0.6190476190476191,0.8571428571428571,0.8571428571428571,0.6700276948724154,0.7555555555555555,26.56277056277056
Grid,2017,0.7255263157894737,0.55,0.75,0.85,0.5547368421052632,0.7066666666666667,29.609999999999996
Random,2017,0.5160526315789473,0.0,0.1,0.15,0.04518796992481202,0.13641556757655823,63.495000000000005
TrueSkill,2017,0.6857894736842105,0.45,0.65,0.9,0.5038832483474855,0.65125,33.08500000000001
Pyro,2017,0.7497368421052631,0.5,0.75,0.95,0.6221804511278195,0.6916666666666667,25.125
Grid,2018,0.7260651629072682,0.47619047619047616,0.7142857142857143,0.7619047619047619,0.5641962047977086,0.6660997732426304,28.98095238095238
Random,2018,0.47343358395989976,0.047619047619047616,0.14285714285714285,0.23809523809523808,-0.07841031149301825,0.1895542900021007,71.71428571428572
TrueSkill,2018,0.6984962406015037,0.5238095238095238,0.8095238095238095,0.9523809523809523,0.5428464360683541,0.6842403628117913,30.209523809523812
Pyro,2018,0.743859649122807,0.5238095238095238,0.8095238095238095,0.9523809523809523,0.6192624418188327,0.6880952380952381,25.31904761904762
Grid,2019,0.7275689223057644,0.19047619047619047,0.42857142857142855,0.5238095238095238,0.5698764081181533,0.5,28.599999999999994
Random,2019,0.49122807017543857,0.0,0.09523809523809523,0.09523809523809523,-0.029144289294665244,0.1557905718620005,68.43809523809524
TrueSkill,2019,0.6471177944862155,0.5238095238095238,0.8095238095238095,0.9047619047619048,0.46142287203200893,0.6492063492063492,34.94761904761905
Pyro,2019,0.7676691729323308,0.5238095238095238,0.8095238095238095,0.9047619047619048,0.6574292875044755,0.7238095238095239,22.780952380952378
Grid,2020,0.7198142414860681,0.47058823529411764,0.6470588235294118,0.6470588235294118,0.5615789049457348,0.6377450980392156,29.16470588235294
Random,2020,0.5003095975232198,0.0,0.11764705882352941,0.17647058823529413,0.007341884122069875,0.16664881638930082,66.01176470588234
TrueSkill,2020,0.6643962848297214,0.6470588235294118,0.8235294117647058,0.8823529411764706,0.43565295791376524,0.7231092436974789,37.52941176470589
Pyro,2020,0.7284829721362229,0.5882352941176471,0.7647058823529411,0.8235294117647058,0.5862892525431224,0.722549019607843,27.511764705882353
Grid,2021,0.7461722488038277,0.36363636363636365,0.4090909090909091,0.5,0.5827252017066799,0.5584251606978881,27.731818181818177
Random,2021,0.49066985645933014,0.09090909090909091,0.18181818181818182,0.22727272727272727,-0.037867395762132605,0.22605971248315743,69.01818181818183
TrueSkill,2021,0.665311004784689,0.36363636363636365,0.7727272727272727,0.8636363636363636,0.48993757642664,0.48452380952380947,34.11363636363637
Pyro,2021,0.7794258373205741,0.36363636363636365,0.8636363636363636,0.9090909090909091,0.6660287081339713,0.6170454545454546,22.209090909090904
Grid,2022,0.6935406698564593,0.36363636363636365,0.4090909090909091,0.45454545454545453,0.4805645711903594,0.5621408894136167,34.53636363636363
Random,2022,0.5303827751196172,0.13636363636363635,0.2727272727272727,0.36363636363636365,0.07703349282296648,0.2826130707410611,61.37727272727273
TrueSkill,2022,0.6272727272727273,0.0,0.4090909090909091,0.6818181818181818,0.3541738469998913,0.26432178932178924,42.945454545454545
Pyro,2022,0.7370813397129187,0.2727272727272727,0.7727272727272727,0.8636363636363636,0.6047846889952152,0.55,26.281818181818178
Grid,2023,0.6988038277511962,0.3181818181818182,0.45454545454545453,0.5454545454545454,0.4999154604968234,0.5592712842712843,33.2
Random,2023,0.4933014354066986,0.0,0.13636363636363635,0.2727272727272727,-0.020027341079972664,0.1423909164216651,67.8318181818182
TrueSkill,2023,0.6318181818181818,0.0,0.2727272727272727,0.5454545454545454,0.3875050352672259,0.4538961038961039,40.74545454545454
Pyro,2023,0.7440191387559809,0.45454545454545453,0.7272727272727273,0.8636363636363636,0.6280246069719754,0.6931818181818182,24.736363636363635
Grid,2024,0.7729574983483815,0.3333333333333333,0.4583333333333333,0.5833333333333334,0.6631739566148798,0.5592592592592592,22.21907894736842
Random,2024,0.5069367980621009,0.041666666666666664,0.08333333333333333,0.125,0.01546574770258981,0.20007857567842088,65.22017543859648
TrueSkill,2024,0.6654921823386919,0.375,0.5833333333333334,0.7916666666666666,0.46527097436135784,0.5304602396514161,35.30899122807017
Pyro,2024,0.7722968509138957,0.375,0.5833333333333334,0.7083333333333334,0.6989661654135336,0.5670138888888888,19.803508771929824
